"orderDate";"productName";"Quantitysold";"quantityInStock";"productLine";"rang_pdts";"taux_ecoulement_stock"
"2022-11-12";"1928 British Royal Navy Airplane";49.0;363;"Planes";77;0.13
"2022-11-12";"1900s Vintage Tri-Plane";48.0;276;"Planes";163;0.17
"2022-11-12";"1930 Buick Marquette Phaeton";48.0;706;"Vintage Cars";163;0.07
"2022-11-12";"F/A 18 Hornet 1/72";48.0;55;"Planes";163;0.87
"2022-11-12";"1936 Harley Davidson El Knucklehead";46.0;436;"Motorcycles";320;0.11
"2022-11-12";"American Airlines: MD-11S";39.0;882;"Planes";915;0.04
"2022-11-12";"1969 Harley Davidson Ultimate Chopper";36.0;793;"Motorcycles";1154;0.05
"2022-11-12";"ATA: B757-300";36.0;711;"Planes";1154;0.05
"2022-11-12";"1928 Ford Phaeton Deluxe";31.0;14;"Vintage Cars";1589;2.21
"2022-11-12";"America West Airlines B757-200";31.0;965;"Planes";1589;0.03
"2022-11-12";"1960 BSA Gold Star DBD34";29.0;2;"Motorcycles";1763;14.5
"2022-11-12";"1997 BMW F650 ST";28.0;18;"Motorcycles";1857;1.56
"2022-11-12";"American Airlines: B767-300";28.0;584;"Planes";1857;0.05
"2022-11-12";"1996 Moto Guzzi 1100i";27.0;663;"Motorcycles";1935;0.04
"2022-11-12";"Corsair F4U ( Bird Cage)";27.0;681;"Planes";1935;0.04
"2022-11-12";"P-51-D Mustang";21.0;99;"Planes";2458;0.21
"2022-11-12";"2003 Harley-Davidson Eagle Drag Bike";20.0;558;"Motorcycles";2556;0.04
"2022-11-19";"2002 Yamaha YZR M1";48.0;60;"Motorcycles";163;0.8
"2022-11-19";"1968 Dodge Charger";47.0;912;"Classic Cars";256;0.05
"2022-11-19";"1969 Dodge Charger";41.0;732;"Classic Cars";743;0.06
"2022-11-19";"1957 Vespa GS150";38.0;769;"Motorcycles";997;0.05
"2022-11-19";"1982 Ducati 900 Monster";38.0;684;"Motorcycles";997;0.06
"2022-11-19";"1970 Plymouth Hemi Cuda";36.0;566;"Classic Cars";1154;0.06
"2022-11-19";"1976 Ford Gran Torino";36.0;913;"Classic Cars";1154;0.04
"2022-11-19";"2002 Suzuki XREO";35.0;1000;"Motorcycles";1234;0.04
"2022-11-19";"1971 Alpine Renault 1600s";34.0;800;"Classic Cars";1301;0.04
"2022-11-19";"1974 Ducati 350 Mk3 Desmo";34.0;334;"Motorcycles";1301;0.1
"2022-11-19";"1956 Porsche 356A Coupe";34.0;660;"Classic Cars";1301;0.05
"2022-11-19";"1957 Corvette Convertible";33.0;125;"Classic Cars";1409;0.26
"2022-11-19";"1969 Dodge Super Bee";32.0;192;"Classic Cars";1503;0.17
"2022-11-19";"1968 Ford Mustang";30.0;7;"Classic Cars";1688;4.29
"2022-11-19";"1982 Ducati 996 R";26.0;924;"Motorcycles";2031;0.03
"2022-11-19";"1961 Chevrolet Impala";24.0;787;"Classic Cars";2211;0.03
"2022-11-19";"1948 Porsche 356-A Roadster";20.0;883;"Classic Cars";2556;0.02
"2022-11-20";"1948 Porsche Type 356 Roadster";48.0;899;"Classic Cars";163;0.05
"2022-11-20";"1936 Mercedes-Benz 500K Special Roadster";48.0;864;"Vintage Cars";163;0.06
"2022-11-20";"1937 Lincoln Berline";43.0;869;"Vintage Cars";589;0.05
"2022-11-20";"1965 Aston Martin DB5";42.0;904;"Classic Cars";670;0.05
"2022-11-20";"1992 Ferrari 360 Spider red";39.0;835;"Classic Cars";915;0.05
"2022-11-20";"1999 Indy 500 Monte Carlo SS";39.0;816;"Classic Cars";915;0.05
"2022-11-20";"1957 Ford Thunderbird";39.0;321;"Classic Cars";915;0.12
"2022-11-20";"1982 Lamborghini Diablo";36.0;772;"Classic Cars";1154;0.05
"2022-11-20";"1993 Mazda RX-7";35.0;398;"Classic Cars";1234;0.09
"2022-11-20";"1995 Honda Civic";35.0;977;"Classic Cars";1234;0.04
"2022-11-20";"1936 Mercedes Benz 500k Roadster";35.0;208;"Vintage Cars";1234;0.17
"2022-11-20";"1966 Shelby Cobra 427 S/C";34.0;820;"Classic Cars";1301;0.04
"2022-11-20";"1970 Chevy Chevelle SS 454";32.0;101;"Classic Cars";1503;0.32
"2022-11-20";"1932 Model A Ford J-Coupe";31.0;935;"Vintage Cars";1589;0.03
"2022-11-20";"18th Century Vintage Horse Carriage";31.0;599;"Vintage Cars";1589;0.05
"2022-11-20";"1939 Chevrolet Deluxe Coupe";31.0;733;"Vintage Cars";1589;0.04
"2022-11-20";"1917 Maxwell Touring Car";29.0;791;"Vintage Cars";1763;0.04
"2022-11-20";"1934 Ford V8 Coupe";28.0;565;"Vintage Cars";1857;0.05
"2022-11-20";"1938 Cadillac V-16 Presidential Limousine";27.0;285;"Vintage Cars";1935;0.09
"2022-11-20";"1911 Ford Town Car";26.0;54;"Vintage Cars";2031;0.48
"2022-11-20";"1969 Chevrolet Camaro Z28";24.0;470;"Classic Cars";2211;0.05
"2022-11-20";"1917 Grand Touring Sedan";24.0;272;"Vintage Cars";2211;0.09
"2022-11-20";"1952 Citroen-15CV";23.0;145;"Classic Cars";2296;0.16
"2022-11-20";"1949 Jaguar XK 120";22.0;235;"Classic Cars";2370;0.09
"2022-11-20";"2002 Chevy Corvette";22.0;945;"Classic Cars";2370;0.02
"2022-11-20";"1928 Mercedes-Benz SSK";22.0;55;"Vintage Cars";2370;0.4
"2022-11-20";"1936 Chrysler Airflow";22.0;471;"Vintage Cars";2370;0.05
"2022-11-20";"1932 Alfa Romeo 8C2300 Spider Sport";21.0;655;"Vintage Cars";2458;0.03
"2022-11-21";"1954 Greyhound Scenicruiser";50.0;287;"Trucks and Buses";12;0.17
"2022-11-21";"1969 Ford Falcon";50.0;105;"Classic Cars";12;0.48
"2022-11-21";"1939 Cadillac Limousine";49.0;665;"Vintage Cars";77;0.07
"2022-11-21";"1940 Ford Pickup Truck";48.0;261;"Trucks and Buses";163;0.18
"2022-11-21";"1964 Mercedes Tour Bus";48.0;826;"Trucks and Buses";163;0.06
"2022-11-21";"1940s Ford truck";47.0;313;"Trucks and Buses";256;0.15
"2022-11-21";"1969 Corvair Monza";47.0;691;"Classic Cars";256;0.07
"2022-11-21";"1913 Ford Model T Speedster";46.0;419;"Vintage Cars";320;0.11
"2022-11-21";"1958 Setra Bus";43.0;158;"Trucks and Buses";589;0.27
"2022-11-21";"1982 Camaro Z28";42.0;693;"Classic Cars";670;0.06
"2022-11-21";"1926 Ford Fire Engine";41.0;202;"Trucks and Buses";743;0.2
"2022-11-21";"1962 City of Detroit Streetcar";38.0;165;"Trains";997;0.23
"2022-11-21";"1958 Chevy Corvette Limited Edition";37.0;254;"Classic Cars";1082;0.15
"2022-11-21";"1970 Triumph Spitfire";36.0;555;"Classic Cars";1154;0.06
"2022-11-21";"1952 Alpine Renault 1300";34.0;731;"Classic Cars";1301;0.05
"2022-11-21";"1962 LanciaA Delta 16V";33.0;679;"Classic Cars";1409;0.05
"2022-11-21";"2001 Ferrari Enzo";33.0;362;"Classic Cars";1409;0.09
"2022-11-21";"1992 Ferrari 360 Spider red";29.0;835;"Classic Cars";1763;0.03
"2022-11-21";"1996 Peterbilt 379 Stake Bed with Outrigger";29.0;81;"Trucks and Buses";1763;0.36
"2022-11-21";"1992 Porsche Cayenne Turbo Silver";29.0;658;"Classic Cars";1763;0.04
"2022-11-21";"1962 Volkswagen Microbus";28.0;233;"Trucks and Buses";1857;0.12
"2022-11-21";"1970 Dodge Coronet";27.0;407;"Classic Cars";1935;0.07
"2022-11-21";"1957 Chevy Pickup";26.0;613;"Trucks and Buses";2031;0.04
"2022-11-21";"Diamond T620 Semi-Skirted Tanker";23.0;102;"Trucks and Buses";2296;0.23
"2022-11-21";"1980’s GM Manhattan Express";22.0;510;"Trucks and Buses";2370;0.04
"2022-11-21";"1950's Chicago Surface Lines Streetcar";22.0;860;"Trains";2370;0.03
"2022-11-21";"1998 Chrysler Plymouth Prowler";20.0;472;"Classic Cars";2556;0.04
"2022-11-22";"18th century schooner";50.0;190;"Ships";12;0.26
"2022-11-22";"1912 Ford Model T Delivery Wagon";45.0;917;"Vintage Cars";416;0.05
"2022-11-22";"The Titanic";44.0;196;"Ships";502;0.22
"2022-11-22";"Pont Yacht";40.0;41;"Ships";835;0.98
"2022-11-22";"1904 Buick Runabout";35.0;829;"Vintage Cars";1234;0.04
"2022-11-22";"The USS Constitution Ship";32.0;708;"Ships";1503;0.05
"2022-11-22";"The Mayflower";31.0;74;"Ships";1589;0.42
"2022-11-22";"Collectable Wooden Train";29.0;645;"Trains";1763;0.04
"2022-11-22";"The Schooner Bluenose";24.0;190;"Ships";2211;0.13
"2022-11-22";"The Queen Mary";24.0;509;"Ships";2211;0.05
"2022-11-22";"1903 Ford Model A";23.0;391;"Vintage Cars";2296;0.06
"2022-11-23";"1941 Chevrolet Special Deluxe Cabriolet";48.0;238;"Vintage Cars";163;0.2
"2022-11-23";"American Airlines: MD-11S";45.0;882;"Planes";416;0.05
"2022-11-23";"Boeing X-32A JSF";45.0;486;"Planes";416;0.09
"2022-11-23";"1980s Black Hawk Helicopter";42.0;533;"Planes";670;0.08
"2022-11-23";"1999 Yamaha Speed Boat";41.0;426;"Ships";743;0.1
"2022-11-23";"1900s Vintage Bi-Plane";34.0;594;"Planes";1301;0.06
"2022-11-23";"HMS Bounty";34.0;350;"Ships";1301;0.1
"2022-11-23";"Corsair F4U ( Bird Cage)";30.0;681;"Planes";1688;0.04
"2022-11-23";"1937 Horch 930V Limousine";27.0;290;"Vintage Cars";1935;0.09
"2022-11-23";"1972 Alfa Romeo GTA";24.0;325;"Classic Cars";2211;0.07
"2022-11-23";"America West Airlines B757-200";22.0;965;"Planes";2370;0.02
"2022-11-23";"1940 Ford Delivery Sedan";21.0;662;"Vintage Cars";2458;0.03
"2022-11-26";"1997 BMW R 1100 S";48.0;700;"Motorcycles";163;0.07
"2022-11-26";"1928 British Royal Navy Airplane";47.0;363;"Planes";256;0.13
"2022-11-26";"1997 BMW F650 ST";45.0;18;"Motorcycles";416;2.5
"2022-11-26";"1957 Corvette Convertible";44.0;125;"Classic Cars";502;0.35
"2022-11-26";"1996 Moto Guzzi 1100i";42.0;663;"Motorcycles";670;0.06
"2022-11-26";"2003 Harley-Davidson Eagle Drag Bike";41.0;558;"Motorcycles";743;0.07
"2022-11-26";"2002 Suzuki XREO";40.0;1000;"Motorcycles";835;0.04
"2022-11-26";"F/A 18 Hornet 1/72";39.0;55;"Planes";915;0.71
"2022-11-26";"1982 Ducati 900 Monster";35.0;684;"Motorcycles";1234;0.05
"2022-11-26";"1930 Buick Marquette Phaeton";34.0;706;"Vintage Cars";1301;0.05
"2022-11-26";"1982 Ducati 996 R";34.0;924;"Motorcycles";1301;0.04
"2022-11-26";"1969 Harley Davidson Ultimate Chopper";29.0;793;"Motorcycles";1763;0.04
"2022-11-26";"1960 BSA Gold Star DBD34";28.0;2;"Motorcycles";1857;14.0
"2022-11-26";"1961 Chevrolet Impala";28.0;787;"Classic Cars";1857;0.04
"2022-11-26";"1900s Vintage Tri-Plane";27.0;276;"Planes";1935;0.1
"2022-11-26";"ATA: B757-300";25.0;711;"Planes";2119;0.04
"2022-11-26";"1936 Harley Davidson El Knucklehead";25.0;436;"Motorcycles";2119;0.06
"2022-11-26";"P-51-D Mustang";24.0;99;"Planes";2211;0.24
"2022-11-26";"1928 Ford Phaeton Deluxe";24.0;14;"Vintage Cars";2211;1.71
"2022-11-26";"American Airlines: B767-300";23.0;584;"Planes";2296;0.04
"2022-11-26";"1974 Ducati 350 Mk3 Desmo";22.0;334;"Motorcycles";2370;0.07
"2022-11-26";"1957 Vespa GS150";21.0;769;"Motorcycles";2458;0.03
"2022-11-26";"2002 Yamaha YZR M1";21.0;60;"Motorcycles";2458;0.35
"2022-11-27";"2002 Chevy Corvette";49.0;945;"Classic Cars";77;0.05
"2022-11-27";"1970 Chevy Chevelle SS 454";47.0;101;"Classic Cars";256;0.47
"2022-11-27";"1992 Ferrari 360 Spider red";45.0;835;"Classic Cars";416;0.05
"2022-11-27";"1993 Mazda RX-7";44.0;398;"Classic Cars";502;0.11
"2022-11-27";"1917 Grand Touring Sedan";44.0;272;"Vintage Cars";502;0.16
"2022-11-27";"1957 Ford Thunderbird";44.0;321;"Classic Cars";502;0.14
"2022-11-27";"1965 Aston Martin DB5";42.0;904;"Classic Cars";670;0.05
"2022-11-27";"1948 Porsche Type 356 Roadster";39.0;899;"Classic Cars";915;0.04
"2022-11-27";"1939 Chevrolet Deluxe Coupe";39.0;733;"Vintage Cars";915;0.05
"2022-11-27";"1911 Ford Town Car";38.0;54;"Vintage Cars";997;0.7
"2022-11-27";"1982 Lamborghini Diablo";37.0;772;"Classic Cars";1082;0.05
"2022-11-27";"1969 Dodge Charger";36.0;732;"Classic Cars";1154;0.05
"2022-11-27";"1932 Alfa Romeo 8C2300 Spider Sport";36.0;655;"Vintage Cars";1154;0.05
"2022-11-27";"1949 Jaguar XK 120";36.0;235;"Classic Cars";1154;0.15
"2022-11-27";"1966 Shelby Cobra 427 S/C";34.0;820;"Classic Cars";1301;0.04
"2022-11-27";"1917 Maxwell Touring Car";33.0;791;"Vintage Cars";1409;0.04
"2022-11-27";"1969 Chevrolet Camaro Z28";33.0;470;"Classic Cars";1409;0.07
"2022-11-27";"1936 Mercedes-Benz 500K Special Roadster";32.0;864;"Vintage Cars";1503;0.04
"2022-11-27";"1938 Cadillac V-16 Presidential Limousine";31.0;285;"Vintage Cars";1589;0.11
"2022-11-27";"1969 Dodge Super Bee";30.0;192;"Classic Cars";1688;0.16
"2022-11-27";"1968 Dodge Charger";28.0;912;"Classic Cars";1857;0.03
"2022-11-27";"1968 Ford Mustang";27.0;7;"Classic Cars";1935;3.86
"2022-11-27";"1999 Indy 500 Monte Carlo SS";27.0;816;"Classic Cars";1935;0.03
"2022-11-27";"1956 Porsche 356A Coupe";25.0;660;"Classic Cars";2119;0.04
"2022-11-27";"1937 Lincoln Berline";25.0;869;"Vintage Cars";2119;0.03
"2022-11-27";"1971 Alpine Renault 1600s";23.0;800;"Classic Cars";2296;0.03
"2022-11-27";"1936 Mercedes Benz 500k Roadster";23.0;208;"Vintage Cars";2296;0.11
"2022-11-27";"1948 Porsche 356-A Roadster";22.0;883;"Classic Cars";2370;0.02
"2022-11-27";"1976 Ford Gran Torino";22.0;913;"Classic Cars";2370;0.02
"2022-11-27";"1995 Honda Civic";21.0;977;"Classic Cars";2458;0.02
"2022-11-27";"1928 Mercedes-Benz SSK";21.0;55;"Vintage Cars";2458;0.38
"2022-11-27";"1970 Plymouth Hemi Cuda";20.0;566;"Classic Cars";2556;0.04
"2022-11-27";"1932 Model A Ford J-Coupe";20.0;935;"Vintage Cars";2556;0.02
"2022-11-27";"1952 Citroen-15CV";20.0;145;"Classic Cars";2556;0.14
"2022-11-28";"1996 Peterbilt 379 Stake Bed with Outrigger";49.0;81;"Trucks and Buses";77;0.6
"2022-11-28";"1936 Chrysler Airflow";47.0;471;"Vintage Cars";256;0.1
"2022-11-28";"1958 Setra Bus";41.0;158;"Trucks and Buses";743;0.26
"2022-11-28";"1939 Cadillac Limousine";40.0;665;"Vintage Cars";835;0.06
"2022-11-28";"1934 Ford V8 Coupe";39.0;565;"Vintage Cars";915;0.07
"2022-11-28";"1913 Ford Model T Speedster";37.0;419;"Vintage Cars";1082;0.09
"2022-11-28";"1962 LanciaA Delta 16V";28.0;679;"Classic Cars";1857;0.04
"2022-11-28";"1952 Alpine Renault 1300";23.0;731;"Classic Cars";2296;0.03
"2022-11-28";"1982 Camaro Z28";23.0;693;"Classic Cars";2296;0.03
"2022-11-28";"18th Century Vintage Horse Carriage";22.0;599;"Vintage Cars";2370;0.04
"2022-11-28";"1940 Ford Pickup Truck";21.0;261;"Trucks and Buses";2458;0.08
"2022-11-28";"1940s Ford truck";21.0;313;"Trucks and Buses";2458;0.07
"2022-11-29";"1992 Porsche Cayenne Turbo Silver";49.0;658;"Classic Cars";77;0.07
"2022-11-29";"Collectable Wooden Train";49.0;645;"Trains";77;0.08
"2022-11-29";"1950's Chicago Surface Lines Streetcar";48.0;860;"Trains";163;0.06
"2022-11-29";"1904 Buick Runabout";47.0;829;"Vintage Cars";256;0.06
"2022-11-29";"1998 Chrysler Plymouth Prowler";46.0;472;"Classic Cars";320;0.1
"2022-11-29";"1964 Mercedes Tour Bus";46.0;826;"Trucks and Buses";320;0.06
"2022-11-29";"1980’s GM Manhattan Express";46.0;510;"Trucks and Buses";320;0.09
"2022-11-29";"1941 Chevrolet Special Deluxe Cabriolet";46.0;238;"Vintage Cars";320;0.19
"2022-11-29";"Diamond T620 Semi-Skirted Tanker";45.0;102;"Trucks and Buses";416;0.44
"2022-11-29";"1926 Ford Fire Engine";44.0;202;"Trucks and Buses";502;0.22
"2022-11-29";"1969 Ford Falcon";43.0;105;"Classic Cars";589;0.41
"2022-11-29";"1958 Chevy Corvette Limited Edition";42.0;254;"Classic Cars";670;0.17
"2022-11-29";"1970 Triumph Spitfire";39.0;555;"Classic Cars";915;0.07
"2022-11-29";"The USS Constitution Ship";39.0;708;"Ships";915;0.06
"2022-11-29";"1957 Chevy Pickup";37.0;613;"Trucks and Buses";1082;0.06
"2022-11-29";"The Titanic";37.0;196;"Ships";1082;0.19
"2022-11-29";"1940 Ford Delivery Sedan";36.0;662;"Vintage Cars";1154;0.05
"2022-11-29";"1954 Greyhound Scenicruiser";33.0;287;"Trucks and Buses";1409;0.11
"2022-11-29";"1969 Corvair Monza";33.0;691;"Classic Cars";1409;0.05
"2022-11-29";"1912 Ford Model T Delivery Wagon";33.0;917;"Vintage Cars";1409;0.04
"2022-11-29";"1980s Black Hawk Helicopter";32.0;533;"Planes";1503;0.06
"2022-11-29";"1999 Yamaha Speed Boat";32.0;426;"Ships";1503;0.08
"2022-11-29";"1970 Dodge Coronet";31.0;407;"Classic Cars";1589;0.08
"2022-11-29";"18th century schooner";30.0;190;"Ships";1688;0.16
"2022-11-29";"The Mayflower";30.0;74;"Ships";1688;0.41
"2022-11-29";"1992 Ferrari 360 Spider red";28.0;835;"Classic Cars";1857;0.03
"2022-11-29";"1903 Ford Model A";28.0;391;"Vintage Cars";1857;0.07
"2022-11-29";"Pont Yacht";28.0;41;"Ships";1857;0.68
"2022-11-29";"Boeing X-32A JSF";28.0;486;"Planes";1857;0.06
"2022-11-29";"1972 Alfa Romeo GTA";26.0;325;"Classic Cars";2031;0.08
"2022-11-29";"1962 Volkswagen Microbus";24.0;233;"Trucks and Buses";2211;0.1
"2022-11-29";"HMS Bounty";24.0;350;"Ships";2211;0.07
"2022-11-29";"The Queen Mary";22.0;509;"Ships";2370;0.04
"2022-11-29";"1900s Vintage Bi-Plane";22.0;594;"Planes";2370;0.04
"2022-11-29";"2001 Ferrari Enzo";21.0;362;"Classic Cars";2458;0.06
"2022-11-29";"The Schooner Bluenose";21.0;190;"Ships";2458;0.11
"2022-11-29";"1937 Horch 930V Limousine";21.0;290;"Vintage Cars";2458;0.07
"2022-11-29";"1962 City of Detroit Streetcar";20.0;165;"Trains";2556;0.12
"2022-11-30";"1928 British Royal Navy Airplane";46.0;363;"Planes";320;0.13
"2022-11-30";"P-51-D Mustang";45.0;99;"Planes";416;0.45
"2022-11-30";"America West Airlines B757-200";44.0;965;"Planes";502;0.05
"2022-11-30";"American Airlines: MD-11S";44.0;882;"Planes";502;0.05
"2022-11-30";"Corsair F4U ( Bird Cage)";43.0;681;"Planes";589;0.06
"2022-11-30";"1930 Buick Marquette Phaeton";41.0;706;"Vintage Cars";743;0.06
"2022-11-30";"American Airlines: B767-300";34.0;584;"Planes";1301;0.06
"2022-11-30";"F/A 18 Hornet 1/72";34.0;55;"Planes";1301;0.62
"2022-11-30";"1900s Vintage Tri-Plane";33.0;276;"Planes";1409;0.12
"2022-11-30";"1928 Ford Phaeton Deluxe";31.0;14;"Vintage Cars";1589;2.21
"2022-12-03";"1969 Harley Davidson Ultimate Chopper";48.0;793;"Motorcycles";163;0.06
"2022-12-03";"2003 Harley-Davidson Eagle Drag Bike";45.0;558;"Motorcycles";416;0.08
"2022-12-03";"1997 BMW F650 ST";44.0;18;"Motorcycles";502;2.44
"2022-12-03";"1960 BSA Gold Star DBD34";40.0;2;"Motorcycles";835;20.0
"2022-12-03";"1996 Moto Guzzi 1100i";38.0;663;"Motorcycles";997;0.06
"2022-12-03";"1936 Harley Davidson El Knucklehead";32.0;436;"Motorcycles";1503;0.07
"2022-12-03";"ATA: B757-300";29.0;711;"Planes";1763;0.04
"2022-12-03";"2002 Suzuki XREO";28.0;1000;"Motorcycles";1857;0.03
"2022-12-03";"1997 BMW R 1100 S";25.0;700;"Motorcycles";2119;0.04
"2022-12-04";"1982 Ducati 996 R";46.0;924;"Motorcycles";320;0.05
"2022-12-04";"1982 Ducati 900 Monster";42.0;684;"Motorcycles";670;0.06
"2022-12-04";"1974 Ducati 350 Mk3 Desmo";42.0;334;"Motorcycles";670;0.13
"2022-12-04";"2002 Yamaha YZR M1";40.0;60;"Motorcycles";835;0.67
"2022-12-05";"1971 Alpine Renault 1600s";48.0;800;"Classic Cars";163;0.06
"2022-12-05";"1995 Honda Civic";47.0;977;"Classic Cars";256;0.05
"2022-12-05";"1966 Shelby Cobra 427 S/C";47.0;820;"Classic Cars";256;0.06
"2022-12-05";"1949 Jaguar XK 120";46.0;235;"Classic Cars";320;0.2
"2022-12-05";"2002 Chevy Corvette";46.0;945;"Classic Cars";320;0.05
"2022-12-05";"1948 Porsche 356-A Roadster";45.0;883;"Classic Cars";416;0.05
"2022-12-05";"1948 Porsche Type 356 Roadster";45.0;899;"Classic Cars";416;0.05
"2022-12-05";"1956 Porsche 356A Coupe";45.0;660;"Classic Cars";416;0.07
"2022-12-05";"1961 Chevrolet Impala";44.0;787;"Classic Cars";502;0.06
"2022-12-05";"1957 Vespa GS150";43.0;769;"Motorcycles";589;0.06
"2022-12-05";"1968 Dodge Charger";40.0;912;"Classic Cars";835;0.04
"2022-12-05";"1999 Indy 500 Monte Carlo SS";38.0;816;"Classic Cars";997;0.05
"2022-12-05";"1970 Chevy Chevelle SS 454";37.0;101;"Classic Cars";1082;0.37
"2022-12-05";"1969 Dodge Super Bee";36.0;192;"Classic Cars";1154;0.19
"2022-12-05";"1957 Corvette Convertible";32.0;125;"Classic Cars";1503;0.26
"2022-12-05";"1969 Chevrolet Camaro Z28";32.0;470;"Classic Cars";1503;0.07
"2022-12-05";"1970 Plymouth Hemi Cuda";30.0;566;"Classic Cars";1688;0.05
"2022-12-05";"1982 Lamborghini Diablo";30.0;772;"Classic Cars";1688;0.04
"2022-12-05";"1965 Aston Martin DB5";29.0;904;"Classic Cars";1763;0.03
"2022-12-05";"1969 Dodge Charger";27.0;732;"Classic Cars";1935;0.04
"2022-12-05";"1992 Ferrari 360 Spider red";26.0;835;"Classic Cars";2031;0.03
"2022-12-05";"1976 Ford Gran Torino";23.0;913;"Classic Cars";2296;0.03
"2022-12-05";"1952 Citroen-15CV";23.0;145;"Classic Cars";2296;0.16
"2022-12-05";"1993 Mazda RX-7";22.0;398;"Classic Cars";2370;0.06
"2022-12-05";"1968 Ford Mustang";21.0;7;"Classic Cars";2458;3.0
"2022-12-06";"1936 Mercedes-Benz 500K Special Roadster";46.0;864;"Vintage Cars";320;0.05
"2022-12-06";"1932 Model A Ford J-Coupe";44.0;935;"Vintage Cars";502;0.05
"2022-12-06";"1911 Ford Town Car";42.0;54;"Vintage Cars";670;0.78
"2022-12-06";"1917 Maxwell Touring Car";32.0;791;"Vintage Cars";1503;0.04
"2022-12-06";"1937 Lincoln Berline";28.0;869;"Vintage Cars";1857;0.03
"2022-12-06";"1913 Ford Model T Speedster";28.0;419;"Vintage Cars";1857;0.07
"2022-12-06";"1939 Chevrolet Deluxe Coupe";26.0;733;"Vintage Cars";2031;0.04
"2022-12-06";"1957 Ford Thunderbird";25.0;321;"Classic Cars";2119;0.08
"2022-12-06";"1934 Ford V8 Coupe";24.0;565;"Vintage Cars";2211;0.04
"2022-12-06";"1932 Alfa Romeo 8C2300 Spider Sport";24.0;655;"Vintage Cars";2211;0.04
"2022-12-06";"18th Century Vintage Horse Carriage";23.0;599;"Vintage Cars";2296;0.04
"2022-12-06";"1928 Mercedes-Benz SSK";22.0;55;"Vintage Cars";2370;0.4
"2022-12-06";"1936 Mercedes Benz 500k Roadster";22.0;208;"Vintage Cars";2370;0.11
"2022-12-06";"1917 Grand Touring Sedan";21.0;272;"Vintage Cars";2458;0.08
"2022-12-06";"1938 Cadillac V-16 Presidential Limousine";20.0;285;"Vintage Cars";2556;0.07
"2022-12-06";"1936 Chrysler Airflow";20.0;471;"Vintage Cars";2556;0.04
"2022-12-10";"1992 Ferrari 360 Spider red";50.0;835;"Classic Cars";12;0.06
"2022-12-10";"1962 Volkswagen Microbus";49.0;233;"Trucks and Buses";77;0.21
"2022-12-10";"1957 Chevy Pickup";49.0;613;"Trucks and Buses";77;0.08
"2022-12-10";"Diamond T620 Semi-Skirted Tanker";49.0;102;"Trucks and Buses";77;0.48
"2022-12-10";"1926 Ford Fire Engine";45.0;202;"Trucks and Buses";416;0.22
"2022-12-10";"1970 Dodge Coronet";44.0;407;"Classic Cars";502;0.11
"2022-12-10";"1952 Alpine Renault 1300";42.0;731;"Classic Cars";670;0.06
"2022-12-10";"1939 Cadillac Limousine";41.0;665;"Vintage Cars";743;0.06
"2022-12-10";"1996 Peterbilt 379 Stake Bed with Outrigger";39.0;81;"Trucks and Buses";915;0.48
"2022-12-10";"1958 Setra Bus";38.0;158;"Trucks and Buses";997;0.24
"2022-12-10";"1980’s GM Manhattan Express";37.0;510;"Trucks and Buses";1082;0.07
"2022-12-10";"1964 Mercedes Tour Bus";35.0;826;"Trucks and Buses";1234;0.04
"2022-12-10";"1992 Porsche Cayenne Turbo Silver";34.0;658;"Classic Cars";1301;0.05
"2022-12-10";"1950's Chicago Surface Lines Streetcar";33.0;860;"Trains";1409;0.04
"2022-12-10";"1940s Ford truck";32.0;313;"Trucks and Buses";1503;0.1
"2022-12-10";"1958 Chevy Corvette Limited Edition";32.0;254;"Classic Cars";1503;0.13
"2022-12-10";"1954 Greyhound Scenicruiser";32.0;287;"Trucks and Buses";1503;0.11
"2022-12-10";"1998 Chrysler Plymouth Prowler";27.0;472;"Classic Cars";1935;0.06
"2022-12-10";"1962 LanciaA Delta 16V";26.0;679;"Classic Cars";2031;0.04
"2022-12-10";"1982 Camaro Z28";26.0;693;"Classic Cars";2031;0.04
"2022-12-10";"1940 Ford Pickup Truck";21.0;261;"Trucks and Buses";2458;0.08
"2022-12-11";"The Mayflower";50.0;74;"Ships";12;0.68
"2022-12-11";"1904 Buick Runabout";50.0;829;"Vintage Cars";12;0.06
"2022-12-11";"The USS Constitution Ship";50.0;708;"Ships";12;0.07
"2022-12-11";"1903 Ford Model A";49.0;391;"Vintage Cars";77;0.13
"2022-12-11";"2001 Ferrari Enzo";47.0;362;"Classic Cars";256;0.13
"2022-12-11";"1912 Ford Model T Delivery Wagon";47.0;917;"Vintage Cars";256;0.05
"2022-12-11";"1962 City of Detroit Streetcar";46.0;165;"Trains";320;0.28
"2022-12-11";"1999 Yamaha Speed Boat";46.0;426;"Ships";320;0.11
"2022-12-11";"1972 Alfa Romeo GTA";45.0;325;"Classic Cars";416;0.14
"2022-12-11";"Pont Yacht";42.0;41;"Ships";670;1.02
"2022-12-11";"18th century schooner";41.0;190;"Ships";743;0.22
"2022-12-11";"1969 Ford Falcon";38.0;105;"Classic Cars";997;0.36
"2022-12-11";"Collectable Wooden Train";35.0;645;"Trains";1234;0.05
"2022-12-11";"The Queen Mary";35.0;509;"Ships";1234;0.07
"2022-12-11";"Boeing X-32A JSF";29.0;486;"Planes";1763;0.06
